Длина пути: 100 | Путь: -> 1 -> 73 -> 25 -> 52 -> 75 -> 8 -> 42 -> 67 -> 83 -> 38 -> 92 -> 72 -> 84 -> 45 -> 86 -> 16 -> 44 -> 53 -> 12 -> 48 -> 95 -> 91 -> 63 -> 22 -> 60 -> 58 -> 33 -> 97 -> 55 -> 77 -> 26 -> 27 -> 4 -> 85 -> 13 -> 31 -> 88 -> 19 -> 23 -> 40 -> 3 -> 46 -> 74 -> 62 -> 24 -> 43 -> 7 -> 15 -> 61 -> 76 -> 37 -> 78 -> 70 -> 79 -> 34 -> 39 -> 64 -> 35 -> 99 -> 65 -> 94 -> 36 -> 100 -> 11 -> 82 -> 17 -> 80 -> 10 -> 29 -> 57 -> 87 -> 54 -> 30 -> 98 -> 71 -> 68 -> 69 -> 81 -> 41 -> 20 -> 96 -> 47 -> 32 -> 2 -> 93 -> 5 -> 89 -> 21 -> 14 -> 6 -> 66 -> 9 -> 56 -> 49 -> 59 -> 51 -> 90 -> 28 -> 50 -> 18 -> 1
Длина пути: 100 | Путь: -> 1 -> 73 -> 25 -> 52 -> 75 -> 8 -> 42 -> 67 -> 83 -> 38 -> 92 -> 72 -> 84 -> 45 -> 86 -> 16 -> 44 -> 53 -> 12 -> 48 -> 95 -> 91 -> 63 -> 22 -> 60 -> 58 -> 33 -> 97 -> 55 -> 77 -> 26 -> 27 -> 4 -> 85 -> 13 -> 31 -> 88 -> 19 -> 23 -> 40 -> 3 -> 46 -> 74 -> 62 -> 24 -> 43 -> 7 -> 15 -> 61 -> 76 -> 37 -> 78 -> 70 -> 79 -> 34 -> 39 -> 64 -> 35 -> 99 -> 65 -> 94 -> 36 -> 100 -> 11 -> 82 -> 17 -> 80 -> 10 -> 29 -> 57 -> 87 -> 54 -> 30 -> 98 -> 71 -> 68 -> 69 -> 81 -> 41 -> 20 -> 96 -> 47 -> 32 -> 2 -> 93 -> 5 -> 89 -> 21 -> 14 -> 6 -> 66 -> 9 -> 56 -> 49 -> 59 -> 51 -> 90 -> 28 -> 50 -> 18 -> 1
Длина пути: 100 | Путь: -> 1 -> 73 -> 25 -> 52 -> 75 -> 8 -> 42 -> 67 -> 83 -> 38 -> 92 -> 72 -> 84 -> 45 -> 86 -> 16 -> 44 -> 53 -> 12 -> 48 -> 95 -> 91 -> 63 -> 22 -> 60 -> 58 -> 33 -> 97 -> 55 -> 77 -> 26 -> 27 -> 4 -> 85 -> 13 -> 31 -> 88 -> 19 -> 23 -> 40 -> 3 -> 46 -> 74 -> 62 -> 24 -> 43 -> 7 -> 15 -> 61 -> 76 -> 37 -> 78 -> 70 -> 79 -> 34 -> 39 -> 64 -> 35 -> 99 -> 65 -> 94 -> 36 -> 100 -> 11 -> 82 -> 17 -> 80 -> 10 -> 29 -> 57 -> 87 -> 54 -> 30 -> 98 -> 71 -> 68 -> 69 -> 81 -> 41 -> 20 -> 96 -> 47 -> 32 -> 2 -> 93 -> 5 -> 89 -> 21 -> 14 -> 6 -> 66 -> 9 -> 56 -> 49 -> 59 -> 51 -> 90 -> 28 -> 50 -> 18 -> 1
Длина пути: 100 | Путь: -> 1 -> 73 -> 25 -> 52 -> 75 -> 8 -> 42 -> 67 -> 83 -> 38 -> 92 -> 72 -> 84 -> 45 -> 86 -> 16 -> 44 -> 53 -> 12 -> 48 -> 95 -> 91 -> 63 -> 22 -> 60 -> 58 -> 33 -> 97 -> 55 -> 77 -> 26 -> 27 -> 4 -> 85 -> 13 -> 31 -> 88 -> 19 -> 23 -> 40 -> 3 -> 46 -> 74 -> 62 -> 24 -> 43 -> 7 -> 15 -> 61 -> 76 -> 37 -> 78 -> 70 -> 79 -> 34 -> 39 -> 64 -> 35 -> 99 -> 65 -> 94 -> 36 -> 100 -> 11 -> 82 -> 17 -> 80 -> 10 -> 29 -> 57 -> 87 -> 54 -> 30 -> 98 -> 71 -> 68 -> 69 -> 81 -> 41 -> 20 -> 96 -> 47 -> 32 -> 2 -> 93 -> 5 -> 89 -> 21 -> 14 -> 6 -> 66 -> 9 -> 56 -> 49 -> 59 -> 51 -> 90 -> 28 -> 50 -> 18 -> 1
Длина пути: 100 | Путь: -> 1 -> 73 -> 25 -> 52 -> 75 -> 8 -> 42 -> 67 -> 83 -> 38 -> 92 -> 72 -> 84 -> 45 -> 86 -> 16 -> 44 -> 53 -> 12 -> 48 -> 95 -> 91 -> 63 -> 22 -> 60 -> 58 -> 33 -> 97 -> 55 -> 77 -> 26 -> 27 -> 4 -> 85 -> 13 -> 31 -> 88 -> 19 -> 23 -> 40 -> 3 -> 46 -> 74 -> 62 -> 24 -> 43 -> 7 -> 15 -> 61 -> 76 -> 37 -> 78 -> 70 -> 79 -> 34 -> 39 -> 64 -> 35 -> 99 -> 65 -> 94 -> 36 -> 100 -> 11 -> 82 -> 17 -> 80 -> 10 -> 29 -> 57 -> 87 -> 54 -> 30 -> 98 -> 71 -> 68 -> 69 -> 81 -> 41 -> 20 -> 96 -> 47 -> 32 -> 2 -> 93 -> 5 -> 89 -> 21 -> 14 -> 6 -> 66 -> 9 -> 56 -> 49 -> 59 -> 51 -> 90 -> 28 -> 50 -> 18 -> 1
Длина пути: 100 | Путь: -> 1 -> 73 -> 25 -> 52 -> 75 -> 8 -> 42 -> 67 -> 83 -> 38 -> 92 -> 72 -> 84 -> 45 -> 86 -> 16 -> 44 -> 53 -> 12 -> 48 -> 95 -> 91 -> 63 -> 22 -> 60 -> 58 -> 33 -> 97 -> 55 -> 77 -> 26 -> 27 -> 4 -> 85 -> 13 -> 31 -> 88 -> 19 -> 23 -> 40 -> 3 -> 46 -> 74 -> 62 -> 24 -> 43 -> 7 -> 15 -> 61 -> 76 -> 37 -> 78 -> 70 -> 79 -> 34 -> 39 -> 64 -> 35 -> 99 -> 65 -> 94 -> 36 -> 100 -> 11 -> 82 -> 17 -> 80 -> 10 -> 29 -> 57 -> 87 -> 54 -> 30 -> 98 -> 71 -> 68 -> 69 -> 81 -> 41 -> 20 -> 96 -> 47 -> 32 -> 2 -> 93 -> 5 -> 89 -> 21 -> 14 -> 6 -> 66 -> 9 -> 56 -> 49 -> 59 -> 51 -> 90 -> 28 -> 50 -> 18 -> 1
Длина пути: 100 | Путь: -> 1 -> 73 -> 25 -> 52 -> 75 -> 8 -> 42 -> 67 -> 83 -> 38 -> 92 -> 72 -> 84 -> 45 -> 86 -> 16 -> 44 -> 53 -> 12 -> 48 -> 95 -> 91 -> 63 -> 22 -> 60 -> 58 -> 33 -> 97 -> 55 -> 77 -> 26 -> 27 -> 4 -> 85 -> 13 -> 31 -> 88 -> 19 -> 23 -> 40 -> 3 -> 46 -> 74 -> 62 -> 24 -> 43 -> 7 -> 15 -> 61 -> 76 -> 37 -> 78 -> 70 -> 79 -> 34 -> 39 -> 64 -> 35 -> 99 -> 65 -> 94 -> 36 -> 100 -> 11 -> 82 -> 17 -> 80 -> 10 -> 29 -> 57 -> 87 -> 54 -> 30 -> 98 -> 71 -> 68 -> 69 -> 81 -> 41 -> 20 -> 96 -> 47 -> 32 -> 2 -> 93 -> 5 -> 89 -> 21 -> 14 -> 6 -> 66 -> 9 -> 56 -> 49 -> 59 -> 51 -> 90 -> 28 -> 50 -> 18 -> 1
Длина пути: 100 | Путь: -> 1 -> 73 -> 25 -> 52 -> 75 -> 8 -> 42 -> 67 -> 83 -> 38 -> 92 -> 72 -> 84 -> 45 -> 86 -> 16 -> 44 -> 53 -> 12 -> 48 -> 95 -> 91 -> 63 -> 22 -> 60 -> 58 -> 33 -> 97 -> 55 -> 77 -> 26 -> 27 -> 4 -> 85 -> 13 -> 31 -> 88 -> 19 -> 23 -> 40 -> 3 -> 46 -> 74 -> 62 -> 24 -> 43 -> 7 -> 15 -> 61 -> 76 -> 37 -> 78 -> 70 -> 79 -> 34 -> 39 -> 64 -> 35 -> 99 -> 65 -> 94 -> 36 -> 100 -> 11 -> 82 -> 17 -> 80 -> 10 -> 29 -> 57 -> 87 -> 54 -> 30 -> 98 -> 71 -> 68 -> 69 -> 81 -> 41 -> 20 -> 96 -> 47 -> 32 -> 2 -> 93 -> 5 -> 89 -> 21 -> 14 -> 6 -> 66 -> 9 -> 56 -> 49 -> 59 -> 51 -> 90 -> 28 -> 50 -> 18 -> 1
Длина пути: 100 | Путь: -> 1 -> 73 -> 25 -> 52 -> 75 -> 8 -> 42 -> 67 -> 83 -> 38 -> 92 -> 72 -> 84 -> 45 -> 86 -> 16 -> 44 -> 53 -> 12 -> 48 -> 95 -> 91 -> 63 -> 22 -> 60 -> 58 -> 33 -> 97 -> 55 -> 77 -> 26 -> 27 -> 4 -> 85 -> 13 -> 31 -> 88 -> 19 -> 23 -> 40 -> 3 -> 46 -> 74 -> 62 -> 24 -> 43 -> 7 -> 15 -> 61 -> 76 -> 37 -> 78 -> 70 -> 79 -> 34 -> 39 -> 64 -> 35 -> 99 -> 65 -> 94 -> 36 -> 100 -> 11 -> 82 -> 17 -> 80 -> 10 -> 29 -> 57 -> 87 -> 54 -> 30 -> 98 -> 71 -> 68 -> 69 -> 81 -> 41 -> 20 -> 96 -> 47 -> 32 -> 2 -> 93 -> 5 -> 89 -> 21 -> 14 -> 6 -> 66 -> 9 -> 56 -> 49 -> 59 -> 51 -> 90 -> 28 -> 50 -> 18 -> 1
Длина пути: 100 | Путь: -> 1 -> 73 -> 25 -> 52 -> 75 -> 8 -> 42 -> 67 -> 83 -> 38 -> 92 -> 72 -> 84 -> 45 -> 86 -> 16 -> 44 -> 53 -> 12 -> 48 -> 95 -> 91 -> 63 -> 22 -> 60 -> 58 -> 33 -> 97 -> 55 -> 77 -> 26 -> 27 -> 4 -> 85 -> 13 -> 31 -> 88 -> 19 -> 23 -> 40 -> 3 -> 46 -> 74 -> 62 -> 24 -> 43 -> 7 -> 15 -> 61 -> 76 -> 37 -> 78 -> 70 -> 79 -> 34 -> 39 -> 64 -> 35 -> 99 -> 65 -> 94 -> 36 -> 100 -> 11 -> 82 -> 17 -> 80 -> 10 -> 29 -> 57 -> 87 -> 54 -> 30 -> 98 -> 71 -> 68 -> 69 -> 81 -> 41 -> 20 -> 96 -> 47 -> 32 -> 2 -> 93 -> 5 -> 89 -> 21 -> 14 -> 6 -> 66 -> 9 -> 56 -> 49 -> 59 -> 51 -> 90 -> 28 -> 50 -> 18 -> 1
Длина пути: 100 | Путь: -> 1 -> 73 -> 25 -> 52 -> 75 -> 8 -> 42 -> 67 -> 83 -> 38 -> 92 -> 72 -> 84 -> 45 -> 86 -> 16 -> 44 -> 53 -> 12 -> 48 -> 95 -> 91 -> 63 -> 22 -> 60 -> 58 -> 33 -> 97 -> 55 -> 77 -> 26 -> 27 -> 4 -> 85 -> 13 -> 31 -> 88 -> 19 -> 23 -> 40 -> 3 -> 46 -> 74 -> 62 -> 24 -> 43 -> 7 -> 15 -> 61 -> 76 -> 37 -> 78 -> 70 -> 79 -> 34 -> 39 -> 64 -> 35 -> 99 -> 65 -> 94 -> 36 -> 100 -> 11 -> 82 -> 17 -> 80 -> 10 -> 29 -> 57 -> 87 -> 54 -> 30 -> 98 -> 71 -> 68 -> 69 -> 81 -> 41 -> 20 -> 96 -> 47 -> 32 -> 2 -> 93 -> 5 -> 89 -> 21 -> 14 -> 6 -> 66 -> 9 -> 56 -> 49 -> 59 -> 51 -> 90 -> 28 -> 50 -> 18 -> 1
